sku_id,week_start,week_end,final_forecast,actual_units,forecast_error,absolute_error
SKU00158,2025-10-06,2025-10-12,22.0,30.0,8.0,8.0
SKU00158,2025-10-13,2025-10-19,28.0,27.0,-1.0,1.0
SKU00158,2025-10-20,2025-10-26,20.0,21.0,1.0,1.0
SKU00158,2025-10-27,2025-11-02,21.0,28.0,7.0,7.0
SKU00158,2025-11-03,2025-11-09,29.0,37.0,8.0,8.0
SKU00158,2025-11-10,2025-11-16,54.0,51.0,-3.0,3.0
SKU00158,2025-11-17,2025-11-23,37.0,46.0,9.0,9.0
SKU00158,2025-11-24,2025-11-30,23.0,14.0,-9.0,9.0
SKU00158,2025-12-01,2025-12-07,43.0,32.0,-11.0,11.0
SKU00158,2025-12-08,2025-12-14,27.0,44.0,17.0,17.0
SKU00158,2025-12-15,2025-12-21,21.0,22.0,1.0,1.0
SKU00158,2025-12-22,2025-12-28,20.0,26.0,6.0,6.0
SKU00164,2025-10-06,2025-10-12,22.0,33.0,11.0,11.0
SKU00164,2025-10-13,2025-10-19,33.0,19.0,-14.0,14.0
SKU00164,2025-10-27,2025-11-02,25.0,20.0,-5.0,5.0
SKU00164,2025-11-03,2025-11-09,26.0,7.0,-19.0,19.0
SKU00164,2025-11-10,2025-11-16,28.0,28.0,0.0,0.0
SKU00164,2025-11-24,2025-11-30,23.0,16.0,-7.0,7.0
SKU00164,2025-12-01,2025-12-07,20.0,13.0,-7.0,7.0
SKU00164,2025-12-08,2025-12-14,25.0,19.0,-6.0,6.0
SKU00165,2025-10-13,2025-10-19,25.0,3.0,-22.0,22.0
SKU00165,2025-12-08,2025-12-14,23.0,14.0,-9.0,9.0
SKU00169,2025-09-29,2025-10-05,143.0,125.0,-18.0,18.0
SKU00169,2025-10-06,2025-10-12,137.0,143.0,6.0,6.0
SKU00169,2025-10-13,2025-10-19,125.0,162.0,37.0,37.0
SKU00169,2025-10-20,2025-10-26,145.0,94.0,-51.0,51.0
SKU00169,2025-10-27,2025-11-02,138.0,102.0,-36.0,36.0
SKU00169,2025-11-03,2025-11-09,152.0,140.0,-12.0,12.0
SKU00169,2025-11-10,2025-11-16,164.0,146.0,-18.0,18.0
SKU00169,2025-11-17,2025-11-23,148.0,165.0,17.0,17.0
SKU00169,2025-11-24,2025-11-30,189.0,213.0,24.0,24.0
SKU00169,2025-12-01,2025-12-07,157.0,225.0,68.0,68.0
SKU00169,2025-12-08,2025-12-14,163.0,199.0,36.0,36.0
SKU00169,2025-12-15,2025-12-21,179.0,214.0,35.0,35.0
SKU00169,2025-12-22,2025-12-28,226.0,195.0,-31.0,31.0
SKU00172,2025-10-06,2025-10-12,24.0,14.0,-10.0,10.0
SKU00172,2025-11-10,2025-11-16,21.0,13.0,-8.0,8.0
SKU00172,2025-11-24,2025-11-30,22.0,17.0,-5.0,5.0
SKU00172,2025-12-22,2025-12-28,23.0,27.0,4.0,4.0
SKU00187,2025-11-17,2025-11-23,26.0,6.0,-20.0,20.0
SKU00190,2025-09-29,2025-10-05,543.0,559.0,16.0,16.0
SKU00190,2025-10-06,2025-10-12,573.0,507.0,-66.0,66.0
SKU00190,2025-10-13,2025-10-19,524.0,478.0,-46.0,46.0
SKU00190,2025-10-20,2025-10-26,549.0,525.0,-24.0,24.0
SKU00190,2025-10-27,2025-11-02,603.0,514.0,-89.0,89.0
SKU00190,2025-11-03,2025-11-09,579.0,403.0,-176.0,176.0
SKU00190,2025-11-10,2025-11-16,644.0,278.0,-366.0,366.0
SKU00190,2025-11-17,2025-11-23,602.0,265.0,-337.0,337.0
SKU00190,2025-11-24,2025-11-30,669.0,273.0,-396.0,396.0
SKU00190,2025-12-01,2025-12-07,717.0,650.0,-67.0,67.0
SKU00190,2025-12-08,2025-12-14,643.0,757.0,114.0,114.0
SKU00190,2025-12-15,2025-12-21,670.0,740.0,70.0,70.0
SKU00190,2025-12-22,2025-12-28,645.0,693.0,48.0,48.0
SKU00207,2025-09-29,2025-10-05,28.0,20.0,-8.0,8.0
SKU00207,2025-10-20,2025-10-26,21.0,20.0,-1.0,1.0
SKU00207,2025-10-27,2025-11-02,37.0,18.0,-19.0,19.0
SKU00207,2025-11-10,2025-11-16,31.0,18.0,-13.0,13.0
SKU00207,2025-12-01,2025-12-07,30.0,17.0,-13.0,13.0
SKU00207,2025-12-22,2025-12-28,22.0,31.0,9.0,9.0
SKU00208,2025-10-27,2025-11-02,20.0,9.0,-11.0,11.0
SKU00211,2025-11-17,2025-11-23,20.0,10.0,-10.0,10.0
SKU00211,2025-12-01,2025-12-07,30.0,22.0,-8.0,8.0
SKU00211,2025-12-08,2025-12-14,20.0,24.0,4.0,4.0
SKU00211,2025-12-15,2025-12-21,33.0,39.0,6.0,6.0
SKU00211,2025-12-22,2025-12-28,20.0,17.0,-3.0,3.0
SKU00250,2025-11-24,2025-11-30,25.0,9.0,-16.0,16.0
SKU00250,2025-12-08,2025-12-14,24.0,27.0,3.0,3.0
SKU00250,2025-12-15,2025-12-21,23.0,8.0,-15.0,15.0
SKU00257,2025-10-13,2025-10-19,22.0,6.0,-16.0,16.0
SKU00257,2025-11-17,2025-11-23,22.0,7.0,-15.0,15.0
SKU00261,2025-10-20,2025-10-26,21.0,12.0,-9.0,9.0
SKU00261,2025-12-01,2025-12-07,20.0,5.0,-15.0,15.0
SKU00271,2025-12-01,2025-12-07,20.0,19.0,-1.0,1.0
SKU00271,2025-12-15,2025-12-21,22.0,24.0,2.0,2.0
SKU00272,2025-09-29,2025-10-05,23.0,22.0,-1.0,1.0
SKU00272,2025-10-06,2025-10-12,26.0,10.0,-16.0,16.0
SKU00272,2025-10-13,2025-10-19,26.0,24.0,-2.0,2.0
SKU00272,2025-10-27,2025-11-02,24.0,23.0,-1.0,1.0
SKU00272,2025-11-03,2025-11-09,26.0,28.0,2.0,2.0
SKU00272,2025-11-10,2025-11-16,27.0,14.0,-13.0,13.0
SKU00272,2025-11-24,2025-11-30,21.0,8.0,-13.0,13.0
SKU00272,2025-12-01,2025-12-07,20.0,35.0,15.0,15.0
SKU00272,2025-12-08,2025-12-14,23.0,20.0,-3.0,3.0
SKU00272,2025-12-15,2025-12-21,34.0,37.0,3.0,3.0
SKU00272,2025-12-22,2025-12-28,22.0,28.0,6.0,6.0
SKU00282,2025-12-01,2025-12-07,23.0,13.0,-10.0,10.0
SKU00297,2025-11-03,2025-11-09,22.0,11.0,-11.0,11.0
SKU00329,2025-11-24,2025-11-30,25.0,14.0,-11.0,11.0
SKU00329,2025-12-01,2025-12-07,25.0,8.0,-17.0,17.0
SKU00329,2025-12-08,2025-12-14,25.0,15.0,-10.0,10.0
SKU00341,2025-12-22,2025-12-28,20.0,10.0,-10.0,10.0
SKU00352,2025-12-01,2025-12-07,22.0,8.0,-14.0,14.0
SKU00359,2025-10-13,2025-10-19,25.0,29.0,4.0,4.0
SKU00359,2025-10-20,2025-10-26,21.0,21.0,0.0,0.0
SKU00359,2025-10-27,2025-11-02,22.0,17.0,-5.0,5.0
SKU00359,2025-11-03,2025-11-09,24.0,17.0,-7.0,7.0
SKU00359,2025-11-17,2025-11-23,22.0,30.0,8.0,8.0
SKU00359,2025-11-24,2025-11-30,31.0,16.0,-15.0,15.0
SKU00359,2025-12-01,2025-12-07,23.0,26.0,3.0,3.0
SKU00359,2025-12-08,2025-12-14,26.0,14.0,-12.0,12.0
SKU00359,2025-12-15,2025-12-21,21.0,26.0,5.0,5.0
SKU00359,2025-12-22,2025-12-28,24.0,26.0,2.0,2.0
SKU00362,2025-11-03,2025-11-09,22.0,6.0,-16.0,16.0
SKU00363,2025-09-29,2025-10-05,96.0,65.0,-31.0,31.0
SKU00363,2025-10-06,2025-10-12,86.0,88.0,2.0,2.0
SKU00363,2025-10-13,2025-10-19,89.0,93.0,4.0,4.0
SKU00363,2025-10-20,2025-10-26,88.0,104.0,16.0,16.0
SKU00363,2025-10-27,2025-11-02,67.0,81.0,14.0,14.0
SKU00363,2025-11-03,2025-11-09,91.0,106.0,15.0,15.0
SKU00363,2025-11-10,2025-11-16,80.0,92.0,12.0,12.0
SKU00363,2025-11-17,2025-11-23,93.0,42.0,-51.0,51.0
SKU00363,2025-11-24,2025-11-30,117.0,69.0,-48.0,48.0
SKU00363,2025-12-01,2025-12-07,118.0,39.0,-79.0,79.0
SKU00363,2025-12-08,2025-12-14,96.0,59.0,-37.0,37.0
SKU00363,2025-12-15,2025-12-21,136.0,89.0,-47.0,47.0
SKU00363,2025-12-22,2025-12-28,107.0,120.0,13.0,13.0
SKU00392,2025-12-22,2025-12-28,23.0,17.0,-6.0,6.0
SKU00397,2025-09-29,2025-10-05,25.0,16.0,-9.0,9.0
SKU00397,2025-11-17,2025-11-23,20.0,14.0,-6.0,6.0
SKU00397,2025-12-01,2025-12-07,21.0,25.0,4.0,4.0
SKU00397,2025-12-08,2025-12-14,31.0,13.0,-18.0,18.0
SKU00399,2025-12-01,2025-12-07,20.0,10.0,-10.0,10.0
SKU00406,2025-09-29,2025-10-05,21.0,17.0,-4.0,4.0
SKU00406,2025-10-27,2025-11-02,20.0,20.0,0.0,0.0
SKU00406,2025-11-03,2025-11-09,20.0,35.0,15.0,15.0
SKU00406,2025-11-10,2025-11-16,30.0,14.0,-16.0,16.0
SKU00406,2025-11-24,2025-11-30,23.0,21.0,-2.0,2.0
SKU00406,2025-12-15,2025-12-21,37.0,26.0,-11.0,11.0
SKU00406,2025-12-22,2025-12-28,27.0,36.0,9.0,9.0
SKU00412,2025-09-29,2025-10-05,20.0,30.0,10.0,10.0
SKU00412,2025-10-13,2025-10-19,20.0,13.0,-7.0,7.0
SKU00412,2025-10-27,2025-11-02,29.0,24.0,-5.0,5.0
SKU00412,2025-11-10,2025-11-16,30.0,20.0,-10.0,10.0
SKU00412,2025-11-17,2025-11-23,22.0,18.0,-4.0,4.0
SKU00412,2025-11-24,2025-11-30,33.0,30.0,-3.0,3.0
SKU00412,2025-12-15,2025-12-21,32.0,33.0,1.0,1.0
SKU00412,2025-12-22,2025-12-28,22.0,28.0,6.0,6.0
SKU00416,2025-09-29,2025-10-05,66.0,86.0,20.0,20.0
SKU00416,2025-10-06,2025-10-12,55.0,78.0,23.0,23.0
SKU00416,2025-10-13,2025-10-19,70.0,105.0,35.0,35.0
SKU00416,2025-10-20,2025-10-26,61.0,40.0,-21.0,21.0
SKU00416,2025-10-27,2025-11-02,81.0,49.0,-32.0,32.0
SKU00416,2025-11-03,2025-11-09,81.0,28.0,-53.0,53.0
SKU00416,2025-11-10,2025-11-16,63.0,88.0,25.0,25.0
SKU00416,2025-11-17,2025-11-23,74.0,78.0,4.0,4.0
SKU00416,2025-11-24,2025-11-30,70.0,111.0,41.0,41.0
SKU00416,2025-12-01,2025-12-07,90.0,118.0,28.0,28.0
SKU00416,2025-12-08,2025-12-14,121.0,86.0,-35.0,35.0
SKU00416,2025-12-15,2025-12-21,88.0,82.0,-6.0,6.0
SKU00416,2025-12-22,2025-12-28,75.0,113.0,38.0,38.0
SKU00422,2025-09-29,2025-10-05,41.0,53.0,12.0,12.0
SKU00422,2025-10-06,2025-10-12,53.0,39.0,-14.0,14.0
SKU00422,2025-10-13,2025-10-19,39.0,35.0,-4.0,4.0
SKU00422,2025-10-20,2025-10-26,24.0,53.0,29.0,29.0
SKU00422,2025-10-27,2025-11-02,42.0,68.0,26.0,26.0
SKU00422,2025-11-03,2025-11-09,51.0,56.0,5.0,5.0
SKU00422,2025-11-10,2025-11-16,48.0,37.0,-11.0,11.0
SKU00422,2025-11-17,2025-11-23,41.0,62.0,21.0,21.0
SKU00422,2025-11-24,2025-11-30,49.0,97.0,48.0,48.0
SKU00422,2025-12-01,2025-12-07,73.0,70.0,-3.0,3.0
SKU00422,2025-12-08,2025-12-14,57.0,52.0,-5.0,5.0
SKU00422,2025-12-15,2025-12-21,57.0,76.0,19.0,19.0
SKU00422,2025-12-22,2025-12-28,59.0,52.0,-7.0,7.0
SKU00425,2025-10-20,2025-10-26,21.0,2.0,-19.0,19.0
SKU00425,2025-11-10,2025-11-16,20.0,6.0,-14.0,14.0
SKU00425,2025-11-24,2025-11-30,25.0,19.0,-6.0,6.0
SKU00425,2025-12-15,2025-12-21,21.0,10.0,-11.0,11.0
SKU00425,2025-12-22,2025-12-28,20.0,19.0,-1.0,1.0
SKU00447,2025-11-03,2025-11-09,22.0,27.0,5.0,5.0
SKU00447,2025-11-10,2025-11-16,29.0,21.0,-8.0,8.0
SKU00447,2025-11-17,2025-11-23,27.0,27.0,0.0,0.0
SKU00447,2025-12-01,2025-12-07,32.0,8.0,-24.0,24.0
SKU00447,2025-12-08,2025-12-14,25.0,17.0,-8.0,8.0
SKU00447,2025-12-15,2025-12-21,21.0,16.0,-5.0,5.0
SKU00468,2025-10-13,2025-10-19,21.0,13.0,-8.0,8.0
SKU00468,2025-11-03,2025-11-09,28.0,22.0,-6.0,6.0
SKU00468,2025-12-15,2025-12-21,26.0,9.0,-17.0,17.0
SKU00470,2025-10-13,2025-10-19,20.0,6.0,-14.0,14.0
SKU00470,2025-11-03,2025-11-09,20.0,18.0,-2.0,2.0
SKU00470,2025-12-01,2025-12-07,23.0,14.0,-9.0,9.0
SKU00470,2025-12-22,2025-12-28,23.0,16.0,-7.0,7.0
SKU00483,2025-12-01,2025-12-07,25.0,10.0,-15.0,15.0
SKU00483,2025-12-08,2025-12-14,20.0,11.0,-9.0,9.0
SKU00505,2025-10-20,2025-10-26,22.0,7.0,-15.0,15.0
SKU00505,2025-12-22,2025-12-28,34.0,8.0,-26.0,26.0
SKU00518,2025-10-06,2025-10-12,22.0,12.0,-10.0,10.0
SKU00518,2025-10-13,2025-10-19,45.0,26.0,-19.0,19.0
SKU00518,2025-10-27,2025-11-02,22.0,23.0,1.0,1.0
SKU00518,2025-11-03,2025-11-09,27.0,16.0,-11.0,11.0
SKU00518,2025-11-10,2025-11-16,26.0,18.0,-8.0,8.0
SKU00518,2025-11-17,2025-11-23,50.0,20.0,-30.0,30.0
SKU00518,2025-12-01,2025-12-07,26.0,30.0,4.0,4.0
SKU00518,2025-12-08,2025-12-14,38.0,28.0,-10.0,10.0
SKU00541,2025-10-06,2025-10-12,33.0,23.0,-10.0,10.0
SKU00541,2025-10-27,2025-11-02,21.0,22.0,1.0,1.0
SKU00541,2025-11-17,2025-11-23,22.0,15.0,-7.0,7.0
SKU00541,2025-12-01,2025-12-07,20.0,21.0,1.0,1.0
SKU00541,2025-12-22,2025-12-28,34.0,29.0,-5.0,5.0
SKU00548,2025-10-06,2025-10-12,21.0,22.0,1.0,1.0
SKU00548,2025-11-17,2025-11-23,31.0,31.0,0.0,0.0
SKU00548,2025-11-24,2025-11-30,24.0,19.0,-5.0,5.0
SKU00548,2025-12-01,2025-12-07,23.0,28.0,5.0,5.0
SKU00548,2025-12-15,2025-12-21,31.0,19.0,-12.0,12.0
SKU00548,2025-12-22,2025-12-28,23.0,31.0,8.0,8.0
SKU00552,2025-10-27,2025-11-02,20.0,8.0,-12.0,12.0
SKU00557,2025-11-24,2025-11-30,20.0,9.0,-11.0,11.0
SKU00557,2025-12-15,2025-12-21,24.0,6.0,-18.0,18.0
SKU00561,2025-10-20,2025-10-26,26.0,8.0,-18.0,18.0
SKU00579,2025-11-10,2025-11-16,27.0,16.0,-11.0,11.0
SKU00627,2025-10-20,2025-10-26,22.0,14.0,-8.0,8.0
SKU00636,2025-11-03,2025-11-09,20.0,14.0,-6.0,6.0
SKU00636,2025-11-10,2025-11-16,21.0,19.0,-2.0,2.0
SKU00636,2025-11-17,2025-11-23,31.0,14.0,-17.0,17.0
SKU00636,2025-12-08,2025-12-14,21.0,33.0,12.0,12.0
SKU00640,2025-09-29,2025-10-05,23.0,19.0,-4.0,4.0
SKU00640,2025-11-17,2025-11-23,24.0,10.0,-14.0,14.0
SKU00640,2025-12-22,2025-12-28,41.0,15.0,-26.0,26.0
SKU00657,2025-12-15,2025-12-21,27.0,13.0,-14.0,14.0
SKU00657,2025-12-22,2025-12-28,21.0,16.0,-5.0,5.0
SKU00692,2025-09-29,2025-10-05,115.0,117.0,2.0,2.0
SKU00692,2025-10-06,2025-10-12,117.0,113.0,-4.0,4.0
SKU00692,2025-10-13,2025-10-19,132.0,159.0,27.0,27.0
SKU00692,2025-10-20,2025-10-26,97.0,117.0,20.0,20.0
SKU00692,2025-10-27,2025-11-02,118.0,129.0,11.0,11.0
SKU00692,2025-11-03,2025-11-09,123.0,92.0,-31.0,31.0
SKU00692,2025-11-10,2025-11-16,147.0,142.0,-5.0,5.0
SKU00692,2025-11-17,2025-11-23,121.0,133.0,12.0,12.0
SKU00692,2025-11-24,2025-11-30,161.0,137.0,-24.0,24.0
SKU00692,2025-12-01,2025-12-07,163.0,150.0,-13.0,13.0
SKU00692,2025-12-08,2025-12-14,144.0,141.0,-3.0,3.0
SKU00692,2025-12-15,2025-12-21,134.0,102.0,-32.0,32.0
SKU00692,2025-12-22,2025-12-28,148.0,87.0,-61.0,61.0
SKU00694,2025-09-29,2025-10-05,48.0,33.0,-15.0,15.0
SKU00694,2025-10-06,2025-10-12,36.0,35.0,-1.0,1.0
SKU00694,2025-10-20,2025-10-26,26.0,20.0,-6.0,6.0
SKU00694,2025-10-27,2025-11-02,40.0,31.0,-9.0,9.0
SKU00694,2025-11-03,2025-11-09,47.0,27.0,-20.0,20.0
SKU00694,2025-11-10,2025-11-16,45.0,38.0,-7.0,7.0
SKU00694,2025-11-17,2025-11-23,37.0,52.0,15.0,15.0
SKU00694,2025-11-24,2025-11-30,34.0,26.0,-8.0,8.0
SKU00694,2025-12-01,2025-12-07,47.0,48.0,1.0,1.0
SKU00694,2025-12-08,2025-12-14,28.0,46.0,18.0,18.0
SKU00694,2025-12-15,2025-12-21,56.0,46.0,-10.0,10.0
SKU00694,2025-12-22,2025-12-28,37.0,37.0,0.0,0.0
SKU00718,2025-09-29,2025-10-05,28.0,24.0,-4.0,4.0
SKU00718,2025-10-27,2025-11-02,24.0,19.0,-5.0,5.0
SKU00718,2025-11-10,2025-11-16,32.0,34.0,2.0,2.0
SKU00718,2025-11-17,2025-11-23,34.0,19.0,-15.0,15.0
SKU00718,2025-11-24,2025-11-30,33.0,25.0,-8.0,8.0
SKU00718,2025-12-01,2025-12-07,32.0,25.0,-7.0,7.0
SKU00718,2025-12-08,2025-12-14,32.0,33.0,1.0,1.0
SKU00718,2025-12-15,2025-12-21,41.0,19.0,-22.0,22.0
SKU00718,2025-12-22,2025-12-28,20.0,38.0,18.0,18.0
SKU00731,2025-09-29,2025-10-05,29.0,31.0,2.0,2.0
SKU00731,2025-10-06,2025-10-12,33.0,33.0,0.0,0.0
SKU00731,2025-10-13,2025-10-19,32.0,41.0,9.0,9.0
SKU00731,2025-10-20,2025-10-26,48.0,42.0,-6.0,6.0
SKU00731,2025-10-27,2025-11-02,38.0,44.0,6.0,6.0
SKU00731,2025-11-03,2025-11-09,28.0,47.0,19.0,19.0
SKU00731,2025-11-10,2025-11-16,25.0,34.0,9.0,9.0
SKU00731,2025-11-17,2025-11-23,41.0,45.0,4.0,4.0
SKU00731,2025-12-01,2025-12-07,49.0,38.0,-11.0,11.0
SKU00731,2025-12-08,2025-12-14,36.0,54.0,18.0,18.0
SKU00731,2025-12-15,2025-12-21,29.0,48.0,19.0,19.0
SKU00731,2025-12-22,2025-12-28,58.0,37.0,-21.0,21.0
SKU00753,2025-11-10,2025-11-16,22.0,18.0,-4.0,4.0
SKU00753,2025-12-01,2025-12-07,22.0,7.0,-15.0,15.0
SKU00757,2025-11-17,2025-11-23,26.0,17.0,-9.0,9.0
SKU00768,2025-10-13,2025-10-19,20.0,11.0,-9.0,9.0
SKU00768,2025-11-03,2025-11-09,25.0,8.0,-17.0,17.0
SKU00768,2025-12-08,2025-12-14,20.0,13.0,-7.0,7.0
SKU00774,2025-09-29,2025-10-05,130.0,114.0,-16.0,16.0
SKU00774,2025-10-06,2025-10-12,120.0,103.0,-17.0,17.0
SKU00774,2025-10-13,2025-10-19,114.0,125.0,11.0,11.0
SKU00774,2025-10-20,2025-10-26,129.0,107.0,-22.0,22.0
SKU00774,2025-10-27,2025-11-02,127.0,98.0,-29.0,29.0
SKU00774,2025-11-03,2025-11-09,119.0,150.0,31.0,31.0
SKU00774,2025-11-10,2025-11-16,137.0,151.0,14.0,14.0
SKU00774,2025-11-17,2025-11-23,147.0,123.0,-24.0,24.0
SKU00774,2025-11-24,2025-11-30,138.0,162.0,24.0,24.0
SKU00774,2025-12-01,2025-12-07,144.0,139.0,-5.0,5.0
SKU00774,2025-12-08,2025-12-14,140.0,82.0,-58.0,58.0
SKU00774,2025-12-15,2025-12-21,160.0,179.0,19.0,19.0
SKU00774,2025-12-22,2025-12-28,123.0,187.0,64.0,64.0
SKU00790,2025-10-06,2025-10-12,23.0,17.0,-6.0,6.0
SKU00790,2025-10-13,2025-10-19,26.0,10.0,-16.0,16.0
SKU00790,2025-10-20,2025-10-26,20.0,19.0,-1.0,1.0
SKU00790,2025-11-03,2025-11-09,39.0,30.0,-9.0,9.0
SKU00790,2025-11-10,2025-11-16,22.0,17.0,-5.0,5.0
SKU00790,2025-11-24,2025-11-30,29.0,47.0,18.0,18.0
SKU00790,2025-12-01,2025-12-07,30.0,25.0,-5.0,5.0
SKU00790,2025-12-08,2025-12-14,20.0,31.0,11.0,11.0
SKU00790,2025-12-15,2025-12-21,52.0,27.0,-25.0,25.0
SKU00790,2025-12-22,2025-12-28,27.0,16.0,-11.0,11.0
SKU00812,2025-09-29,2025-10-05,23.0,27.0,4.0,4.0
SKU00812,2025-10-13,2025-10-19,28.0,23.0,-5.0,5.0
SKU00812,2025-10-27,2025-11-02,30.0,27.0,-3.0,3.0
SKU00812,2025-11-03,2025-11-09,22.0,48.0,26.0,26.0
SKU00812,2025-11-10,2025-11-16,30.0,31.0,1.0,1.0
SKU00812,2025-11-17,2025-11-23,39.0,14.0,-25.0,25.0
SKU00812,2025-11-24,2025-11-30,30.0,31.0,1.0,1.0
SKU00812,2025-12-01,2025-12-07,36.0,32.0,-4.0,4.0
SKU00812,2025-12-08,2025-12-14,31.0,38.0,7.0,7.0
SKU00812,2025-12-15,2025-12-21,28.0,34.0,6.0,6.0
SKU00817,2025-12-01,2025-12-07,21.0,18.0,-3.0,3.0
SKU00830,2025-09-29,2025-10-05,81.0,72.0,-9.0,9.0
SKU00830,2025-10-06,2025-10-12,59.0,72.0,13.0,13.0
SKU00830,2025-10-13,2025-10-19,66.0,47.0,-19.0,19.0
SKU00830,2025-10-20,2025-10-26,62.0,61.0,-1.0,1.0
SKU00830,2025-10-27,2025-11-02,65.0,60.0,-5.0,5.0
SKU00830,2025-11-03,2025-11-09,95.0,41.0,-54.0,54.0
SKU00830,2025-11-10,2025-11-16,88.0,23.0,-65.0,65.0
SKU00830,2025-11-17,2025-11-23,61.0,45.0,-16.0,16.0
SKU00830,2025-11-24,2025-11-30,59.0,89.0,30.0,30.0
SKU00830,2025-12-01,2025-12-07,59.0,64.0,5.0,5.0
SKU00830,2025-12-08,2025-12-14,74.0,74.0,0.0,0.0
SKU00830,2025-12-15,2025-12-21,88.0,55.0,-33.0,33.0
SKU00830,2025-12-22,2025-12-28,75.0,87.0,12.0,12.0
SKU00832,2025-09-29,2025-10-05,42.0,56.0,14.0,14.0
