sku_id,forecast_demand,actual_units,stock_on_hand,stockout_risk,overstock_risk,demand_risk,inventory_risk_score,inventory_coverage_weeks,risk_level,primary_risk_driver,business_priority,sku_name,category,inventory_gap,recommended_replenishment_units,excess_inventory_units,inventory_status,recommended_action,business_recommendation,unit_price,unit_cost,sales_value_at_risk,capital_locked_in_overstock,forecast_error,absolute_error
SKU00952,734.0,729.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,FreshFarm Pest Control 250ml,Home Care,-734.0,734.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,288.12,216.68,211480.08,0.0,-5.0,5.0
SKU00974,1231.0,1188.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,CleanWave Chocolates 1kg,Snacks & Confectionery,-1231.0,1231.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,47.34,34.78,58275.54,0.0,-43.0,43.0
SKU00994,7537.0,7029.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,NovaFresh Home Decor 2L,Home & Kitchen,-7537.0,7537.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,602.13,395.46,4538253.81,0.0,-508.0,508.0
SKU01009,1551.0,1416.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,SparkleClean Bath & Body Pack of 6,Personal Care,-1551.0,1551.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,223.42,155.57,346524.42,0.0,-135.0,135.0
SKU01014,572.0,626.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,SoftTouch Frozen Vegetables Pack of 6,Frozen Foods,-572.0,572.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,274.5,173.65,157014.0,0.0,54.0,54.0
SKU01021,1005.0,1044.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,EverydayPlus First Aid 2L,Health & Wellness,-1005.0,1005.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,1243.47,702.35,1249687.35,0.0,39.0,39.0
SKU01030,1724.0,1559.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,NutriPlus Sugar & Salt 250g,Grocery,-1724.0,1724.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,224.5,155.47,387038.0,0.0,-165.0,165.0
SKU01037,2220.0,2072.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,EliteHome Bottled Water Large,Beverages,-2220.0,2220.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,178.07,135.2,395315.4,0.0,-148.0,148.0
SKU01045,4392.0,4182.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,PurePlus Frozen Meat Medium,Frozen Foods,-4392.0,4392.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,451.29,256.12,1982065.68,0.0,-210.0,210.0
SKU01079,562.0,625.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,EverydayPlus Soft Drinks Large,Beverages,-562.0,562.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,125.88,71.86,70744.56,0.0,63.0,63.0
SKU01138,1307.0,1280.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,SoftTouch Chips & Crisps 250ml,Snacks & Confectionery,-1307.0,1307.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,181.15,141.66,236763.05,0.0,-27.0,27.0
SKU01152,1477.0,1512.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,FamilyChoice Skin Care 1L,Personal Care,-1477.0,1477.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,486.03,295.8,717866.31,0.0,35.0,35.0
SKU01153,939.0,810.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,GreenValley Mobile Accessories 1kg,Electronics & Accessories,-939.0,939.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,897.4,608.31,842658.6,0.0,-129.0,129.0
SKU01274,2087.0,1852.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,ValueChoice Small Appliances Family Pack,Electronics & Accessories,-2087.0,2087.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,558.36,313.23,1165297.32,0.0,-235.0,235.0
SKU01370,913.0,834.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,PurePlus Laundry 2L,Home Care,-913.0,913.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,195.01,123.07,178044.13,0.0,-79.0,79.0
SKU01420,5231.0,4836.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,GoldenHarvest Notebooks 250g,Stationery & Office,-5231.0,5231.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,213.65,128.04,1117603.15,0.0,-395.0,395.0
SKU01432,497.0,478.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,BasicNeeds Biscuits & Cookies Small,Snacks & Confectionery,-497.0,497.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,78.81,47.6,39168.57,0.0,-19.0,19.0
SKU01435,674.0,725.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,CleanWave OTC Medicine 250g,Health & Wellness,-674.0,674.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,1037.9,740.69,699544.6,0.0,51.0,51.0
SKU01466,900.0,798.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,BasicNeeds Chips & Crisps Pack of 12,Snacks & Confectionery,-900.0,900.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,34.29,27.39,30861.0,0.0,-102.0,102.0
SKU01556,603.0,534.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,NovaFresh Cookware Medium,Home & Kitchen,-603.0,603.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,1701.38,1045.54,1025932.14,0.0,-69.0,69.0
SKU01578,1805.0,1631.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,TrueTaste Ice Cream 250ml,Frozen Foods,-1805.0,1805.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,540.35,338.5,975331.75,0.0,-174.0,174.0
SKU01662,1059.0,979.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,FamilyChoice OTC Medicine Medium,Health & Wellness,-1059.0,1059.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,495.84,328.64,525094.56,0.0,-80.0,80.0
SKU01664,440.0,457.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,QuickBite Surface Cleaners 500g,Home Care,-440.0,440.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,436.52,293.99,192068.8,0.0,17.0,17.0
SKU01784,1353.0,1363.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,HealthFirst Writing Instruments 250ml,Stationery & Office,-1353.0,1353.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,168.81,117.23,228399.93,0.0,10.0,10.0
SKU01843,458.0,522.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,TrueTaste Cheese 100g,Dairy & Bakery,-458.0,458.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,407.44,297.18,186607.52,0.0,64.0,64.0
SKU01890,589.0,634.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,NatureBlend Air Fresheners 250g,Home Care,-589.0,589.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,119.43,71.9,70344.27,0.0,45.0,45.0
SKU01993,1493.0,1505.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,DailyBest Office Supplies Pack of 12,Stationery & Office,-1493.0,1493.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,142.17,83.84,212259.81,0.0,12.0,12.0
SKU02036,468.0,508.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,NutriPlus Eggs Large,Dairy & Bakery,-468.0,468.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,207.39,115.32,97058.52,0.0,40.0,40.0
SKU02231,547.0,636.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,PurePlus Namkeen Small,Snacks & Confectionery,-547.0,547.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,50.54,34.83,27645.38,0.0,89.0,89.0
SKU02247,1572.0,1328.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,CityFresh Writing Instruments 2L,Stationery & Office,-1572.0,1572.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,179.3,134.06,281859.6,0.0,-244.0,244.0
SKU02335,665.0,695.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,PrimeCare Skin Care Pack of 12,Personal Care,-665.0,665.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,393.56,225.06,261717.4,0.0,30.0,30.0
SKU02338,649.0,616.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,HealthFirst Flour & Atta Pack of 12,Grocery,-649.0,649.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,313.63,244.59,203545.87,0.0,-33.0,33.0
SKU02340,1530.0,1385.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,HomeStyle Skin Care 2L,Personal Care,-1530.0,1530.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,234.67,179.48,359045.1,0.0,-145.0,145.0
SKU02415,770.0,805.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,TrueTaste Dishwashing 2L,Home Care,-770.0,770.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,441.21,259.73,339731.7,0.0,35.0,35.0
SKU02503,945.0,798.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,PremiumSelect Notebooks 100g,Stationery & Office,-945.0,945.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,280.9,220.49,265450.5,0.0,-147.0,147.0
SKU02543,1398.0,1125.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,CityFresh Storage & Containers Pack of 12,Home & Kitchen,-1398.0,1398.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,1956.24,1248.98,2734823.52,0.0,-273.0,273.0
SKU02583,841.0,953.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,NutriPlus Notebooks 250ml,Stationery & Office,-841.0,841.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,274.06,178.5,230484.46,0.0,112.0,112.0
SKU02640,1232.0,1110.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,NutriPlus Home Decor 250ml,Home & Kitchen,-1232.0,1232.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,1563.22,888.14,1925887.04,0.0,-122.0,122.0
SKU02668,623.0,598.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,QuickBite Storage & Containers 500ml,Home & Kitchen,-623.0,623.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,1122.49,881.4,699311.27,0.0,-25.0,25.0
SKU02740,2051.0,2023.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,CrispKing Chips & Crisps Small,Snacks & Confectionery,-2051.0,2051.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,104.22,65.2,213755.22,0.0,-28.0,28.0
SKU02892,2385.0,2265.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,CityFresh Cheese 2kg,Dairy & Bakery,-2385.0,2385.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,77.05,46.22,183764.25,0.0,-120.0,120.0
SKU02930,4084.0,4084.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,TrueTaste Pest Control 100g,Home Care,-4084.0,4084.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,170.16,133.92,694933.44,0.0,0.0,0.0
SKU02950,1128.0,1142.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,FreshFarm Eggs 250ml,Dairy & Bakery,-1128.0,1128.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,251.09,183.84,283229.52,0.0,14.0,14.0
SKU02998,689.0,665.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,NutriPlus Cookware Pack of 12,Home & Kitchen,-689.0,689.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,891.24,624.22,614064.36,0.0,-24.0,24.0
SKU03034,594.0,592.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,PureLife Spices & Seasoning 2L,Grocery,-594.0,594.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,232.5,158.24,138105.0,0.0,-2.0,2.0
SKU03199,962.0,914.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,QuickBite Coffee 500ml,Beverages,-962.0,962.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,78.08,57.97,75112.96,0.0,-48.0,48.0
SKU03355,595.0,621.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,NovaFresh Rice & Grains 2L,Grocery,-595.0,595.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,127.47,87.11,75844.65,0.0,26.0,26.0
SKU03524,521.0,545.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,PurePlus Rice & Grains 500ml,Grocery,-521.0,521.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,141.25,89.81,73591.25,0.0,24.0,24.0
SKU03546,1586.0,1481.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,PrimeCare OTC Medicine Medium,Health & Wellness,-1586.0,1586.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,496.17,310.3,786925.62,0.0,-105.0,105.0
SKU03578,1072.0,1054.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,ZestyCo Ready Meals 1L,Frozen Foods,-1072.0,1072.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,225.73,163.11,241982.56,0.0,-18.0,18.0
SKU03633,1052.0,949.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,SunriseFoods Soft Drinks 500ml,Beverages,-1052.0,1052.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,118.27,78.05,124420.04,0.0,-103.0,103.0
SKU03680,429.0,507.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,TrueTaste Juices Medium,Beverages,-429.0,429.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,169.14,114.18,72561.06,0.0,78.0,78.0
SKU03743,1219.0,1104.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,PremiumSelect Air Fresheners 500g,Home Care,-1219.0,1219.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,253.24,162.98,308699.56,0.0,-115.0,115.0
SKU03800,1972.0,1740.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,ValueChoice Chocolates 250ml,Snacks & Confectionery,-1972.0,1972.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,114.46,76.17,225715.12,0.0,-232.0,232.0
SKU03836,657.0,633.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,SmartBuy Men's Grooming Large,Personal Care,-657.0,657.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,442.52,300.82,290735.64,0.0,-24.0,24.0
SKU03851,955.0,869.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,SoftTouch Butter & Ghee 500ml,Dairy & Bakery,-955.0,955.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,99.5,74.51,95022.5,0.0,-86.0,86.0
SKU03901,568.0,502.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,CrispKing Milk Large,Dairy & Bakery,-568.0,568.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,110.45,64.93,62735.6,0.0,-66.0,66.0
SKU03906,447.0,467.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,GoldenHarvest Bath & Body 250g,Personal Care,-447.0,447.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,125.53,90.03,56111.91,0.0,20.0,20.0
SKU03907,2062.0,2028.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,QuickBite Home Decor 1L,Home & Kitchen,-2062.0,2062.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,876.73,624.96,1807817.26,0.0,-34.0,34.0
SKU04035,1006.0,857.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,ValueChoice Sugar & Salt 250g,Grocery,-1006.0,1006.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,140.98,90.93,141825.88,0.0,-149.0,149.0
SKU04064,409.0,447.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,QuickBite Small Appliances 1L,Electronics & Accessories,-409.0,409.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,3845.32,2536.63,1572735.88,0.0,38.0,38.0
SKU04166,3144.0,2960.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,NatureBlend Milk 100g,Dairy & Bakery,-3144.0,3144.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,263.67,154.85,828978.48,0.0,-184.0,184.0
SKU04191,1910.0,1844.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,HomeStyle Spices & Seasoning 2L,Grocery,-1910.0,1910.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,106.7,80.76,203797.0,0.0,-66.0,66.0
SKU04288,381.0,336.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,FreshFarm Writing Instruments Medium,Stationery & Office,-381.0,381.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,172.44,130.31,65699.64,0.0,-45.0,45.0
SKU04305,1029.0,1027.0,0.0,100.0,0.0,100.0,80.0,0.0,Critical,Stockout,High,GoldenHarvest Vitamins & Supplements 2kg,Health & Wellness,-1029.0,1029.0,0.0,SHORTAGE,URGENT REPLENISHMENT,Forecast demand is high relative to available inventory. Replenish stock to reduce stockout risk.,782.22,522.72,804904.38,0.0,-2.0,2.0
